13	41	3	23	12	16
12	32	30	49	3	18
34	12	14	24	36	23
30	13	36	44	23	4
31	44	6	49	5	39
29	44	6	37	22	18
27	44	8	16	12	4
26	37	9	44	46	24
47	20	31	26	21	5
10	26	37	8	31	22
26	8	42	39	36	14
34	38	42	39	9	5
38	22	46	4	27	36
37	6	41	22	21	42
29	1	19	9	49	16
23	40	35	12	17	27
18	5	22	6	38	43
26	42	43	12	35	36
14	1	23	27	33	30
26	35	38	20	42	8
30	42	1	48	32	45
41	6	4	47	17	19
6	28	9	26	20	22
26	10	3	49	24	38
42	16	18	3	37	19
25	10	32	7	43	22
32	39	19	25	2	30
46	32	14	31	12	1
19	33	21	10	24	35
18	4	40	36	47	34
45	39	41	49	3	1
43	31	39	32	4	34
22	12	37	31	6	42
36	33	38	43	35	5
36	34	35	11	33	17
23	40	14	46	10	16
31	47	48	25	8	17	33
9	42	48	40	43	39	6
33	41	28	22	27	36	43
14	24	49	33	15	7	23
45	42	22	43	37	48	1
30	41	49	29	4	40	43
48	13	20	41	33	8	35
10	12	28	45	26	22	2
12	45	1	26	25	14	28
12	13	4	3	24	20	49
34	44	25	48	6	2	12
28	19	46	41	32	43	7
26	48	47	33	43	45	42
4	32	42	22	19	5	28
47	10	25	9	30	22	40
7	47	43	39	15	3	8
17	36	48	39	44	3	40
17	42	40	4	25	33	18
45	35	12	14	22	39	47
28	9	3	33	41	32	19
41	36	14	22	46	7	18
28	6	36	8	14	32	15
26	32	28	39	29	2	9
32	44	31	24	40	48	34
10	24	34	27	15	31	32
24	41	14	19	31	40	15
8	39	27	10	49	13	35
23	4	49	34	21	17	10
16	43	23	35	21	15	10
22	29	30	49	12	20	21
22	29	13	44	4	23	5
32	18	38	5	25	33	15
43	34	27	13	48	35	33
14	4	38	25	30	7	17
11	43	6	19	10	12	20
31	39	37	28	12	24	4
45	48	46	11	22	27	44
46	41	23	25	32	42	24
19	22	3	29	25	45	6
17	48	33	18	7	8	12
4	16	12	31	19	3	39
38	24	20	12	30	45	17
25	22	29	5	14	38	47
5	48	29	31	6	18	42
8	47	35	24	41	49	21
19	9	10	3	18	24	25
30	15	47	41	20	4	35
36	13	33	19	14	42	11
27	14	1	47	20	46	34
22	18	5	13	4	3	17
34	12	23	24	32	26	3
46	5	47	45	1	8	26
42	40	8	36	47	20	38
15	8	27	49	11	42	33
20	10	30	13	39	38	2
10	35	14	16	37	23	21
15	47	6	4	49	38	2
18	45	10	6	47	37	5
15	16	18	25	37	43	36
41	38	5	32	16	42	9
5	15	13	49	44	36	8
26	13	6	36	35	18	48
1	25	9	28	2	8	44
24	28	21	13	26	8	2
48	41	34	32	2	40	35
6	7	40	9	15	12	36
32	38	9	40	6	33	18
20	3	31	17	26	21	45
4	23	28	27	38	29	5
30	38	17	16	15	40	47
1	19	23	40	46	8	34
27	39	18	22	3	34	48
7	5	22	43	18	21	14
7	21	9	45	35	31	40
45	24	14	48	43	41	11
15	1	41	36	2	11	3
47	39	5	25	29	2	27
47	5	34	9	22	21	6
23	29	36	40	28	14	10
37	42	1	25	29	17	40
1	11	26	33	25	18	5
2	48	42	1	32	19	35
5	28	3	43	42	15	13
12	49	35	2	41	47	37
28	15	12	32	25	43	49
9	31	12	23	28	38	21
25	48	33	34	31	9	49
18	17	44	15	11	33	38
20	32	15	35	10	2	19
13	15	29	16	5	11	17
20	1	10	49	27	37	35
7	13	10	16	5	18	30
33	4	29	14	23	36	26
1	33	48	4	35	31	18
44	17	7	14	19	12	35
31	25	48	45	40	47	16
22	35	4	40	16	33	20
9	33	5	6	44	41	7
33	11	18	49	12	27	2
44	8	13	14	30	32	40
40	20	39	2	37	1	32
27	17	7	16	25	8	36
23	5	29	10	47	39	19
5	32	21	49	13	25	45
36	4	31	22	42	32	49
9	2	1	27	24	26	23
1	33	35	20	11	37	45
12	22	9	19	26	27	25
33	45	37	5	47	3	24
37	20	41	5	49	48	46
17	44	33	7	25	26	29
29	23	40	18	27	9	42
39	31	33	28	42	14	10
32	11	36	38	9	29	7
2	45	48	17	25	19	11
21	33	43	4	19	45	26
16	22	1	21	12	14	33
27	44	24	38	25	45	32
35	28	32	10	26	12	31
10	32	27	25	9	4	42
44	39	37	46	24	4	17
42	39	36	7	29	35	17
48	45	21	27	34	49	10
17	28	13	44	47	12	29
40	34	3	4	10	47	7
27	32	1	19	26	48	4
27	2	3	35	25	11	15
33	15	31	19	25	22	17
36	23	38	13	29	19	39
23	13	34	25	2	27	7
18	10	30	6	48	15	22
17	10	32	33	14	36	49
15	16	10	46	24	13	35
9	13	28	47	35	46	11
40	2	11	38	12	6	22
4	44	26	1	48	14	47
47	35	6	39	45	33	11
19	48	43	3	17	8	18
44	11	10	41	23	30	24
48	26	32	6	35	18	41
7	23	44	8	12	39	28
47	14	28	8	9	37	16
15	5	21	39	36	22	35
40	14	34	22	38	48	3
7	13	16	6	36	48	34
32	2	30	38	25	49	48
15	7	9	25	6	20	44
1	11	41	27	2	46	43
24	16	47	49	10	25	17
18	31	19	26	41	14	17
6	9	46	22	41	10	27
4	1	35	19	11	43	18
28	48	44	18	49	22	11
29	15	17	42	32	16	5
47	46	3	21	37	42	15
6	7	15	42	33	47	12
27	32	48	20	37	43	18
24	37	1	21	23	15	25
4	16	6	20	23	30	27
14	25	26	38	1	41	28
13	4	46	19	43	33	27
48	11	46	14	37	30	32
16	31	27	36	18	15	46
11	26	13	25	30	10	6
43	35	42	44	46	9	23
13	41	17	45	15	11	2
39	11	9	22	26	35	46
41	27	19	26	47	8	9
11	39	21	12	41	44	23
10	25	48	49	45	18	23
27	29	25	10	18	1	44
23	38	6	1	44	2	10
45	32	25	40	18	5	16
2	20	31	37	27	49	28
28	46	36	34	43	48	19
11	7	17	36	26	19	13
20	27	35	30	6	3	28
5	21	4	10	34	11	48
31	28	46	34	42	37	38
44	12	38	6	20	49	23
27	11	15	31	39	30	3
35	23	38	5	19	22	24
43	7	47	24	35	36	28
40	46	19	3	17	29	22
6	48	22	12	31	49	38
30	23	38	1	37	24	32
24	7	19	32	31	12	42
8	4	44	30	28	40	10
38	48	30	23	31	17	1
19	2	20	37	8	23	18
45	37	6	36	11	9	42
4	24	26	8	22	38	35
26	7	30	40	38	34	28
26	23	30	34	44	48	43
28	19	14	44	21	46	47
14	17	29	45	23	11	24
2	3	29	46	11	37	24
39	28	40	7	1	11	17
32	19	34	18	43	35	38
3	32	12	30	4	26	1
3	21	10	26	43	11	19
34	23	17	5	33	38	31
4	14	38	18	25	31	23
28	13	40	24	31	32	22
10	30	17	36	40	7	15
15	27	32	14	45	37	17
20	33	22	7	37	24	26
9	31	1	36	7	19	29
2	29	16	37	12	21	30
5	6	36	16	9	29	28
34	42	38	16	40	43	36
8	42	38	21	1	28	10
28	32	48	6	47	34	13
30	7	36	14	17	43	42
26	11	46	2	3	21	8
29	10	25	18	7	32	22
28	22	47	21	7	39	13
21	16	47	32	26	2	23
23	37	44	3	35	15	13
26	32	1	16	41	35	13
10	31	43	16	25	17	11
2	13	10	39	24	9	29
36	25	41	22	18	47	23
1	30	42	23	24	28	5
25	32	48	15	13	42	23
37	21	10	39	41	23	38
38	46	28	19	40	39	23
49	4	43	5	9	47	8
32	48	34	19	11	12	2
5	35	42	33	48	9	23
6	34	31	43	11	13	25
49	38	21	22	45	1	47
45	32	5	9	37	4	39
22	39	1	29	23	49	38
27	14	33	37	39	48	35
37	22	10	5	11	27	31
12	23	13	49	10	22	11
47	1	49	36	35	18	26
3	38	24	37	46	12	9
31	34	41	44	37	48	1
16	36	45	40	34	47	22
41	16	38	36	34	9	17
46	23	36	6	14	45	18
45	20	32	12	16	37	7
36	4	35	40	17	31	21
36	41	38	43	45	34	4
27	20	4	6	24	1	32
18	32	39	42	43	21	22
42	26	41	9	29	22	46
35	25	46	47	20	8	38
2	46	42	34	23	38	32
1	34	17	44	33	6	47
14	19	29	18	39	16	47
22	30	40	1	36	14	25
41	18	32	21	2	26	6
24	23	38	9	33	3	37
22	33	39	46	9	5	12
17	32	31	5	40	11	22
33	2	45	8	23	4	41
36	17	10	30	28	49	7
30	39	29	46	15	20	48
16	15	47	37	21	35	7
23	33	43	7	13	25	45
35	8	15	4	10	12	22
27	9	18	47	17	7	11
46	38	18	13	31	24	4
29	34	32	42	26	10	22
29	23	49	13	8	5	16
33	42	3	13	47	37	19
46	36	28	49	6	9	11
35	8	18	30	27	15	39
18	38	42	33	14	27	2
3	49	4	19	43	34	36
39	45	9	33	43	29	8
13	37	36	9	34	16	45
46	34	15	28	6	27	25
26	4	16	23	2	30	11
2	1	48	3	5	47	37
22	42	14	30	1	27	9
34	45	49	23	10	31	22
37	36	31	29	49	4	48
47	41	12	37	21	11	30
45	23	2	39	31	27	25
31	11	4	24	9	29	28
38	33	1	15	29	5	24
47	23	12	6	27	15	29
21	20	32	3	29	16	23
3	47	49	24	38	37	41
8	12	19	17	21	25	10
47	33	17	9	10	46	25
46	38	7	9	25	15	11
19	32	20	40	27	4	23
13	31	44	8	41	17	34
32	22	44	19	31	48	4
32	48	3	5	12	25	35
21	6	43	3	12	4	42
38	44	39	2	16	17	35
35	36	21	13	45	46	1
37	25	19	31	13	21	8
42	8	43	31	37	38	16
4	15	8	44	48	17	1
11	34	33	38	17	2	41
24	12	22	32	15	34	45
36	22	35	31	6	9	15
32	44	2	15	24	39	30
26	9	6	18	48	46	33
2	5	23	47	40	18	15
43	44	14	46	35	6	27
17	36	6	48	20	45	30
42	21	44	24	8	27	35
1	14	12	13	48	33	22
32	42	41	10	15	48	49
11	48	23	20	33	29	47
5	48	25	35	21	36	7
47	30	6	24	20	39	2
5	46	37	20	9	10	44
28	8	40	19	39	36	42
49	38	25	30	5	36	23
47	8	5	39	29	32	7
39	8	2	19	1	26	9
42	46	34	33	19	41	47
44	7	47	39	18	3	4
34	29	9	24	30	45	41
10	24	7	44	29	16	3
46	28	30	44	34	29	9
38	8	19	14	41	43	27
40	5	30	22	27	44	18
21	29	2	39	37	6	20
41	15	28	26	39	25	21
15	30	28	26	6	20	47
26	40	36	19	42	41	47
34	39	8	43	35	21	36
8	19	31	39	1	4	21
9	22	20	49	36	5	27
45	35	49	17	30	5	41
37	40	45	9	31	36	1
31	8	23	45	4	48	39
6	19	3	22	12	2	16
4	20	45	5	33	27	17
17	18	21	24	33	34	5
19	38	46	28	33	36	21
36	42	37	15	28	21	23
39	11	22	41	49	43	3
5	10	26	33	47	12	21
37	32	41	12	10	4	24
38	40	7	1	23	49	25
34	27	3	40	24	23	26
38	45	30	10	47	5	20
40	18	25	12	48	5	16
33	12	43	42	6	21	4
34	16	28	27	49	21	45
14	38	48	28	21	24	36
1	44	14	26	16	35	20
16	23	10	45	21	14	26
34	13	28	33	31	35	30
4	44	35	40	28	20	14
42	13	6	17	44	1	48
35	29	42	37	39	44	6
46	25	42	11	18	43	26
27	13	16	1	49	33	45
45	8	27	29	22	18	17
43	33	42	17	9	30	21
12	5	41	17	10	11	32
29	5	45	34	8	49	36
21	40	38	18	39	41	26
32	15	21	10	16	19	41
2	43	20	33	40	41	10
4	32	31	18	21	12	8
47	6	5	2	22	7	43
4	10	44	17	36	31	40
39	6	35	7	21	18	29
11	7	34	42	26	8	22
22	47	45	29	25	3	18
12	7	44	3	33	49	32
42	27	3	22	32	16	7
47	27	23	45	19	49	14
9	19	36	39	5	42	46
21	22	4	44	23	7	12
48	7	20	42	29	27	12
48	21	31	24	14	34	25
2	18	26	45	43	1	22
48	34	44	12	22	11	26
6	12	49	29	18	16	38
19	23	7	33	42	38	32
18	44	30	41	8	2	29
49	30	26	29	21	39	48
43	5	34	20	29	18	38
39	35	32	46	2	49	8
42	2	20	37	18	3	8
30	45	49	17	21	44	9
23	40	48	43	37	7	2
16	18	31	8	43	3	23
45	1	20	13	30	34	3
49	12	19	30	9	33	41
7	49	22	24	1	32	41
4	9	10	30	43	19	27
40	32	41	3	2	30	46
14	26	21	2	45	41	29
8	9	3	38	34	13	32
23	2	13	5	19	22	33
40	38	13	21	22	48	34
22	25	12	43	44	38	9
36	7	35	16	15	32	1
21	3	36	20	15	9	39
36	26	43	3	19	45	13
35	2	49	20	37	36	21
14	1	42	19	32	29	31
45	22	36	24	28	44	40
22	26	1	20	23	15	10
9	2	48	25	13	47	15
39	40	6	11	21	9	4
41	38	29	11	42	22	39
19	2	46	9	38	28	29
3	10	24	31	48	9	49
46	13	33	6	41	17	22
20	2	43	33	12	32	38
27	8	6	21	36	30	15
29	11	18	12	38	39	42
11	26	44	30	41	14	2
14	15	34	11	49	19	45
43	29	14	30	18	39	3
16	2	24	47	14	30	13
19	27	28	8	5	40	25
25	39	36	10	4	8	17
23	11	44	34	6	48	3
6	37	25	38	39	42	17
17	30	38	7	12	24	49
23	1	21	7	30	10	45
44	21	2	40	22	31	24
43	29	13	11	26	22	41
18	15	11	28	5	41	22
7	17	46	40	49	23	31
35	39	47	16	48	32	22
42	16	15	2	46	29	33
47	31	13	38	32	2	12
11	45	26	43	46	12	18
15	32	9	7	33	10	2
21	14	39	8	15	27	48
1	18	39	41	26	32	37
9	43	31	29	21	37	26
21	47	40	48	43	34	25
24	16	19	12	39	25	31
20	36	12	33	41	46	37
11	31	39	43	20	18	22
41	46	47	28	43	25	15
24	8	21	49	46	48	28
19	17	41	31	8	11	20
46	26	45	24	27	43	42
32	29	2	9	11	35	12
6	47	22	26	28	16	9
32	3	28	40	49	14	8
42	46	14	31	1	40	41
9	12	45	25	28	26	44
39	10	3	42	32	17	36
35	33	40	36	8	6	12
34	47	21	17	38	45	26
26	29	28	11	14	5	25
22	42	37	21	16	49	44
13	24	35	19	20	3	22
27	44	28	30	39	47	3
12	39	40	29	10	17	2
40	10	8	30	43	21	9
25	9	4	8	16	22	35
45	35	18	10	14	40	28
41	19	28	2	23	17	31
27	12	30	41	8	1	10
39	44	28	36	48	31	2
36	41	4	10	33	32	49
48	39	30	40	4	5	2
8	35	2	38	3	34	11
2	37	26	17	18	16	31
3	16	36	38	12	39	22
20	2	39	40	15	33	42
37	15	35	14	40	36	32
38	40	9	49	10	5	33
35	9	11	10	2	24	28
24	22	42	33	5	38	49
15	21	38	19	14	33	7
20	45	26	27	40	37	29
21	43	29	33	6	45	8
42	36	48	41	9	21	39
1	28	4	30	41	15	25
9	49	45	11	41	32	5
41	29	27	17	15	30	6
35	46	32	16	27	25	28
15	43	40	47	31	16	46
43	9	19	8	24	34	10
2	49	34	40	45	23	17
25	48	18	26	1	46	40
34	21	48	49	25	14	36
3	10	48	46	27	13	33
12	13	32	48	4	11	31
29	17	26	47	43	40	7
45	22	49	12	30	3	35
24	2	48	18	36	15	17
20	8	47	31	40	25	23
3	17	46	11	20	41	19
22	21	40	43	45	9	18
26	20	10	22	1	40	18
32	34	46	44	14	11	6
26	13	21	48	49	44	30
7	49	33	14	24	43	34
22	8	5	49	25	31	16
14	17	33	38	1	47	13
33	40	36	23	10	6	47
4	15	3	28	49	25	13
40	12	11	36	33	39	31
22	40	12	26	41	27	29
5	38	9	18	24	25	30
39	46	43	48	33	10	19
29	11	15	3	21	37	2
2	7	20	6	39	4	3
8	27	17	14	36	45	1
4	12	19	36	14	7	3
32	10	19	28	7	38	11
10	18	21	46	3	15	16
4	12	18	42	38	21	41
49	37	36	29	38	39	43
32	1	6	23	29	38	25
34	41	9	22	45	38	35
10	31	45	44	39	7	19
15	49	48	13	8	6	40
29	35	12	49	9	3	17
24	2	42	17	43	40	33
13	21	40	43	22	25	32
45	44	35	21	17	15	16
48	5	45	2	24	16	10
38	36	35	44	11	6	42
41	44	38	3	24	19	39
46	12	33	6	19	23	29
31	3	29	14	49	6	38
16	46	7	38	32	48	42
14	38	36	25	24	23	30
6	7	28	3	10	25	44
38	22	44	28	21	5	6
34	18	2	11	46	14	39
38	5	17	29	39	28	11
32	49	6	24	8	29	43
36	12	4	17	35	7	20
12	5	11	25	15	48	32
12	48	44	14	24	18	46
5	39	43	3	36	14	37
39	32	3	5	6	38	41
42	14	10	48	46	26	36
33	19	44	46	39	24	49
47	31	46	18	2	30	34
1	19	27	2	49	9	26
21	15	23	49	44	38	41
19	13	10	29	30	4	37
49	14	1	21	45	11	25
30	35	44	48	41	9	36
25	22	20	49	32	44	39
22	37	40	16	24	2	38
41	5	36	18	14	21	16
27	18	3	17	49	16	25
9	48	17	7	12	16	32
1	32	17	49	43	44	7
17	26	20	11	49	13	18
7	48	30	24	45	10	43
15	24	5	46	29	40	38
46	4	34	41	27	29	33
46	20	17	15	4	47	3
47	49	20	3	22	35	23
20	37	17	40	8	36	43
39	34	7	44	2	43	22
40	8	1	37	26	47	25
19	11	38	21	18	2	7
24	32	36	35	40	15	12
2	42	40	1	37	21	15
43	3	6	27	40	1	21
12	42	49	16	28	14	34
41	23	33	34	16	14	45
10	14	34	27	7	42	15
21	1	6	30	45	31	40
17	7	8	20	26	2	31
42	48	40	44	6	19	8
8	48	16	45	41	26	5
30	31	40	23	17	19	26
2	13	6	38	27	24	41
12	25	3	4	8	1	34
49	8	2	37	30	40	3
21	32	34	49	42	45	1
24	43	26	39	17	49	42
40	26	42	46	17	25	32
40	48	15	45	3	36	19
20	33	3	42	25	4	22
31	19	17	18	8	41	44
3	20	36	41	13	27	4
46	32	30	2	14	44	16
14	37	36	35	21	26	33
38	37	22	46	48	4	47
12	4	20	16	43	19	14
39	25	18	2	28	12	6
13	40	35	16	22	21	47
44	9	36	25	7	46	26
6	21	46	11	43	16	23
6	48	34	22	35	49	25
39	43	5	4	20	1	25
44	41	17	2	5	38	29
16	15	17	1	31	27	13
19	16	30	13	45	46	25
41	21	9	49	7	29	42
21	4	36	41	34	37	20
30	5	42	3	9	38	25
48	33	47	49	28	46	36
31	3	28	40	37	12	30
36	17	16	39	14	2	3
17	35	19	28	12	18	11
12	33	25	4	28	49	42
36	47	44	13	26	10	4
31	10	25	1	19	34	6
18	1	25	8	2	24	33
16	48	37	32	7	49	46
25	11	37	34	10	22	9
7	1	22	32	20	37	23
45	6	17	34	1	3	33
41	30	21	13	31	10	8
11	8	5	46	45	32	2
42	48	26	3	22	16	33
43	20	5	28	45	39	16
49	6	31	34	42	44	19
26	24	29	43	8	28	31
30	36	31	20	35	26	49
16	46	1	4	43	48	35
27	32	41	42	47	45	49
39	1	43	2	47	49	12
30	49	7	10	6	40	44
19	12	26	21	9	47	24
29	14	42	3	34	6	26
21	6	38	48	35	22	34
35	34	2	21	41	31	29
1	48	39	49	11	46	24
44	33	25	22	2	9	21
28	14	31	38	30	21	49
48	11	41	38	19	4	5
41	9	40	2	21	23	30
20	36	27	33	23	41	15
19	14	1	21	23	36	29
1	41	9	24	15	23	34
26	34	43	17	32	22	30
23	26	14	19	33	29	46
14	39	24	8	37	4	7
25	42	14	17	47	18	29
6	41	26	49	27	32	2
34	25	8	28	39	13	20
43	17	2	15	21	45	27
19	49	15	18	20	42	34
23	17	33	32	31	40	3
37	11	7	10	48	17	33
16	29	27	5	9	18	14
29	47	19	20	7	3	14
2	27	34	36	14	30	21
29	16	28	33	37	42	34
24	27	3	1	19	4	20
18	1	6	3	28	7	8
35	40	27	13	46	15	18
12	41	42	28	21	33	7
3	2	38	40	19	12	25
26	15	29	49	47	39	9
20	5	30	23	48	41	11
29	10	7	25	16	23	3
6	46	42	23	41	47	27
30	40	8	27	46	49	5
37	20	46	38	23	45	3
43	25	17	42	39	34	26
40	1	4	11	24	5	2
9	31	13	25	44	24	10
49	39	28	43	14	19	26
17	38	30	3	16	4	24
19	5	28	46	45	18	16
18	23	47	16	38	29	1
22	32	9	17	21	33	38
27	3	11	36	42	6	40
45	35	46	27	10	43	39
39	2	21	47	42	29	37
12	25	40	11	2	14	8
28	42	31	7	18	15	29
36	31	49	38	23	40	21
25	23	10	29	26	49	1
19	49	12	30	26	8	6
13	17	15	44	7	46	9
41	19	4	7	29	8	13
3	17	35	33	23	6	38
1	17	42	9	6	20	10
26	48	5	24	16	35	28
13	46	1	37	26	5	11
43	33	48	4	13	3	44
8	32	20	33	49	43	46
19	27	3	31	24	14	44
49	34	39	21	20	42	30
21	8	13	29	26	9	20
39	6	22	34	20	10	23
25	30	1	43	39	26	23
11	40	43	22	28	37	30
48	37	28	19	25	17	30
47	1	42	48	34	3	44
26	31	1	45	12	28	35
31	3	21	46	22	23	10
1	18	23	38	30	8	44
46	25	28	14	11	30	37
25	33	22	43	48	8	15
15	25	18	48	36	10	35
9	7	18	40	32	26	14
9	46	17	6	23	28	39
13	11	35	16	30	48	45
26	37	6	27	38	12	5
43	6	4	24	23	1	17
18	7	26	31	39	13	42
24	21	31	30	46	20	2
41	22	11	28	49	16	5
31	20	18	43	3	49	5
17	10	16	42	30	39	3
39	44	12	35	36	38	9
5	4	31	35	45	1	33
45	25	34	9	8	26	14
46	11	24	39	3	21	10
49	22	47	19	37	39	10
40	20	18	2	9	24	1
35	41	45	29	34	7	43
36	1	48	23	31	24	18
46	19	39	37	6	34	42
8	25	33	31	15	32	28
15	33	9	40	21	20	14
17	27	11	45	34	20	46
19	33	31	17	49	3	38
41	7	39	48	11	2	46
24	40	42	39	1	25	33
20	30	43	33	5	37	31
21	32	3	16	39	34	5
33	32	4	31	39	36	46
31	11	24	25	1	45	38
20	32	21	24	25	2	12
17	38	8	37	31	22	47
22	37	13	15	28	48	18
44	4	41	29	21	15	24
12	26	44	35	7	14	11
1	20	38	12	39	30	34
14	10	17	32	19	31	26
26	46	2	3	33	25	31
8	41	7	3	20	15	32
49	22	17	8	3	2	13
30	40	38	32	20	39	42
31	8	26	7	5	40	44
45	12	18	17	13	32	15
37	4	7	24	20	47	44
21	24	48	29	4	22	45
39	7	49	32	1	47	38
41	42	47	45	30	23	1
27	31	24	26	45	38	42
12	26	3	45	33	6	29
19	6	26	44	45	15	30
41	48	43	37	36	20	21
48	29	11	35	28	10	37
41	16	38	48	6	44	49
36	25	27	21	22	16	38
